site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+16.2   ,+11.550 ,+1.8959 ,+379.18,+.80935 ,+12.950 ,+19.787 ,+12.892 ,+16.993 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+17.2   ,+11.655 ,+1.8959 ,+379.18,+.81594 ,+13.055 ,+19.810 ,+12.880 ,+16.999 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+18.2   ,+11.646 ,+1.8952 ,+379.04,+.82113 ,+13.138 ,+19.799 ,+12.835 ,+16.971 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+19.2   ,+11.429 ,+1.8952 ,+379.04,+.82529 ,+13.205 ,+19.812 ,+12.830 ,+16.984 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+20.2   ,+11.567 ,+1.8952 ,+379.04,+.82806 ,+13.249 ,+19.823 ,+12.824 ,+16.960 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+21.2   ,+11.520 ,+1.8876 ,+377.51,+.82945 ,+13.271 ,+19.835 ,+12.837 ,+16.972 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+22.2   ,+11.616 ,+1.8806 ,+376.13,+.83222 ,+13.316 ,+19.835 ,+12.837 ,+16.972 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+23.2   ,+11.578 ,+1.8851 ,+377.03,+.84192 ,+13.471 ,+19.837 ,+12.787 ,+16.957 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+24.2   ,+11.397 ,+1.8841 ,+376.82,+.84851 ,+13.576 ,+19.837 ,+12.735 ,+16.940 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+25.2   ,+11.402 ,+1.8772 ,+375.44,+.85024 ,+13.604 ,+19.850 ,+12.713 ,+16.953 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+26.2   ,+11.465 ,+1.8834 ,+376.68,+.85751 ,+13.720 ,+19.860 ,+12.741 ,+16.963 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+27.2   ,+11.663 ,+1.8775 ,+375.50,+.85890 ,+13.742 ,+19.873 ,+12.736 ,+16.976 
