"Plot Title: WILL_14C_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547762, SEN S/N: 20547762, LBL: 10_cm)","Host Connected (LGR S/N: 20547762)","Coupler Attached (LGR S/N: 20547762)","Stopped (LGR S/N: 20547762)","End Of File (LGR S/N: 20547762)"
327,07/03/22 07:00:00  AM,5.962,,,,
328,07/03/22 07:30:00  AM,7.280,,,,
329,07/03/22 08:00:00  AM,6.064,,,,
330,07/03/22 08:30:00  AM,6.268,,,,
331,07/03/22 09:00:00  AM,6.775,,,,
332,07/03/22 09:30:00  AM,5.757,,,,
333,07/03/22 10:00:00  AM,6.370,,,,
334,07/03/22 10:30:00  AM,7.179,,,,
335,07/03/22 11:00:00  AM,7.280,,,,
336,07/03/22 11:30:00  AM,7.079,,,,
337,07/03/22 12:00:00  PM,6.978,,,,
338,07/03/22 12:30:00  PM,6.978,,,,
339,07/03/22 01:00:00  PM,7.179,,,,
340,07/03/22 01:30:00  PM,6.471,,,,
341,07/03/22 02:00:00  PM,6.877,,,,
342,07/03/22 02:30:00  PM,5.347,,,,
343,07/03/22 03:00:00  PM,6.268,,,,
344,07/03/22 03:30:00  PM,6.775,,,,
345,07/03/22 04:00:00  PM,5.860,,,,
346,07/03/22 04:30:00  PM,4.831,,,,
347,07/03/22 05:00:00  PM,5.552,,,,
348,07/03/22 05:30:00  PM,4.727,,,,
349,07/03/22 06:00:00  PM,4.519,,,,
350,07/03/22 06:30:00  PM,4.519,,,,
351,07/03/22 07:00:00  PM,5.244,,,,
352,07/03/22 07:30:00  PM,4.934,,,,
353,07/03/22 08:00:00  PM,4.207,,,,
354,07/03/22 08:30:00  PM,4.102,,,,
355,07/03/22 09:00:00  PM,3.788,,,,
356,07/03/22 09:30:00  PM,3.261,,,,
357,07/03/22 10:00:00  PM,2.837,,,,
358,07/03/22 10:30:00  PM,2.517,,,,
359,07/03/22 11:00:00  PM,2.303,,,,
360,07/03/22 11:30:00  PM,2.624,,,,
