"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","End Of File (LGR S/N: 20553056)"
477,07/11/22 01:58:00  PM,22.812,1636.1,
478,07/11/22 01:58:30  PM,22.717,409.0,
479,07/11/22 01:59:00  PM,22.525,409.0,
480,07/11/22 01:59:30  PM,22.429,527.4,
481,07/11/22 02:00:00  PM,22.238,0.0,
482,07/11/22 02:00:30  PM,22.046,0.0,
483,07/11/22 02:01:00  PM,21.951,0.0,
484,07/11/22 02:01:30  PM,21.855,0.0,
485,07/11/22 02:02:00  PM,21.855,0.0,
486,07/11/22 02:02:30  PM,21.855,0.0,
487,07/11/22 02:03:00  PM,21.855,0.0,
488,07/11/22 02:03:30  PM,21.855,0.0,
489,07/11/22 02:04:00  PM,21.855,0.0,
490,07/11/22 02:04:30  PM,21.855,0.0,
491,07/11/22 02:05:00  PM,21.951,0.0,
492,07/11/22 02:05:30  PM,21.951,0.0,
493,07/11/22 02:06:00  PM,21.951,0.0,
494,07/11/22 02:06:30  PM,22.046,0.0,
495,07/11/22 02:07:00  PM,22.046,0.0,
496,07/11/22 02:07:30  PM,22.046,0.0,
497,07/11/22 02:08:00  PM,22.142,0.0,
498,07/11/22 02:08:30  PM,22.142,0.0,
499,07/11/22 02:09:00  PM,22.333,2927.8,
500,07/11/22 02:09:30  PM,22.621,1205.6,
501,07/11/22 02:10:00  PM,23.004,1722.2,
502,07/11/22 02:10:30  PM,23.292,1980.6,
503,07/11/22 02:11:00  PM,23.292,0.0,
504,07/11/22 02:11:30  PM,23.292,0.0,
505,07/11/22 02:12:00  PM,23.196,0.0,
506,07/11/22 02:12:30  PM,23.196,258.3,
507,07/11/22 02:13:00  PM,23.196,1076.4,
508,07/11/22 02:13:30  PM,23.100,1108.7,
509,07/11/22 02:14:00  PM,23.100,355.2,
510,07/11/22 02:14:30  PM,23.100,2152.8,
