"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Good Battery (LGR S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
398,07/07/22 07:18:30  PM,18.616,645.8,,,,,
399,07/07/22 07:19:00  PM,18.616,376.7,,,,,
400,07/07/22 07:19:30  PM,18.711,269.1,,,,,
401,07/07/22 07:20:00  PM,18.711,312.2,,,,,
402,07/07/22 07:20:30  PM,18.711,258.3,,,,,
403,07/07/22 07:21:00  PM,18.711,419.8,,,,,
404,07/07/22 07:21:30  PM,18.806,2497.2,,,,,
405,07/07/22 07:22:00  PM,18.901,236.8,,,,,
406,07/07/22 07:22:30  PM,18.996,269.1,,,,,
407,07/07/22 07:23:00  PM,18.996,269.1,,,,,
408,07/07/22 07:23:30  PM,18.996,290.6,,,,,
409,07/07/22 07:24:00  PM,18.806,290.6,,,,,
410,07/07/22 07:24:30  PM,18.711,247.6,,,,,
411,07/07/22 07:25:00  PM,18.521,236.8,,,,,
412,07/07/22 07:25:30  PM,18.426,236.8,,,,,
413,07/07/22 07:26:00  PM,18.331,290.6,,,,,
414,07/07/22 07:26:30  PM,18.140,0.0,,,,,
415,07/07/22 07:27:00  PM,18.140,215.3,,,,,
416,07/07/22 07:27:30  PM,18.236,1302.4,,,,,
417,07/07/22 07:28:00  PM,18.140,0.0,,,,,
418,07/07/22 07:28:30  PM,18.140,258.3,,,,,
419,07/07/22 07:29:00  PM,18.140,215.3,,,,,
420,07/07/22 07:29:30  PM,18.045,215.3,,,,,
421,07/07/22 07:30:00  PM,18.045,0.0,,,,,
422,07/07/22 07:30:30  PM,18.045,0.0,,,,,
423,07/07/22 07:31:00  PM,18.140,129.2,,,,,
424,07/07/22 07:31:30  PM,18.140,129.2,,,,,
425,07/07/22 07:32:00  PM,18.045,204.5,,,,,
426,07/07/22 07:32:30  PM,17.950,226.0,,,,,
427,07/07/22 07:33:00  PM,17.855,258.3,,,,,
